cohort,dimension,category,period,numerator,denominator,share,ci_low,ci_high,registered_status,claim_gate,note
DIS,defendant_type_mix,HOUSING_AUTHORITY,P1,15,176,0.085227,0.045455,0.130682,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,INDIVIDUAL_TENANT,P1,1,176,0.005682,0.000000,0.017045,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,LANDLORD,P1,2,176,0.011364,0.000000,0.028409,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,MUNICIPALITY,P1,50,176,0.284091,0.221591,0.352273,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,OTHER,P1,10,176,0.056818,0.028409,0.096591,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,PRIVATE_LANDLORD,P1,45,176,0.255682,0.193182,0.318182,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,PROPERTY_MANAGEMENT,P1,23,176,0.130682,0.085227,0.181818,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,PROPERTY_MANAGER,P1,1,176,0.005682,0.000000,0.017045,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,REAL_ESTATE_AGENT,P1,1,176,0.005682,0.000000,0.017045,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,DEVELOPER,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,GOVERNMENT,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,GROUP_HOME_OPERATOR,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,HOA_CONDO_ASSN,P2,7,40,0.175000,0.075000,0.300000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,HOUSING_AUTHORITY,P2,4,40,0.100000,0.025000,0.200000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,INDIVIDUAL_TENANT,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,LANDLORD,P2,1,40,0.025000,0.000000,0.075000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,MUNICIPALITY,P2,16,40,0.400000,0.250000,0.550000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,OTHER,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,PRIVATE_LANDLORD,P2,9,40,0.225000,0.100000,0.350000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,PROPERTY_MANAGEMENT,P2,3,40,0.075000,0.000000,0.175000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,PROPERTY_MANAGER,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,REAL_ESTATE_AGENT,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,DEVELOPER,P3,2,81,0.024691,0.000000,0.061728,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,GOVERNMENT,P3,2,81,0.024691,0.000000,0.061728,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,GROUP_HOME_OPERATOR,P3,0,81,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,HOA_CONDO_ASSN,P3,10,81,0.123457,0.049383,0.197531,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,HOUSING_AUTHORITY,P3,6,81,0.074074,0.024691,0.135802,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,INDIVIDUAL_TENANT,P3,0,81,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,LANDLORD,P3,1,81,0.012346,0.000000,0.037037,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,MUNICIPALITY,P3,30,81,0.370370,0.271605,0.481481,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,OTHER,P3,3,81,0.037037,0.000000,0.086420,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,PRIVATE_LANDLORD,P3,16,81,0.197531,0.111111,0.283951,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,PROPERTY_MANAGEMENT,P3,11,81,0.135802,0.061728,0.209877,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,PROPERTY_MANAGER,P3,0,81,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,REAL_ESTATE_AGENT,P3,0,81,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,ADMINISTRATIVE_REVIEW,P1,2,176,0.011364,0.000000,0.028409,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,APPEAL,P1,29,176,0.164773,0.113636,0.221591,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,DEFAULT_JUDGMENT,P1,1,176,0.005682,0.000000,0.017045,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,DISCOVERY,P1,1,176,0.005682,0.000000,0.017045,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,MOTION_TO_DISMISS,P1,69,176,0.392045,0.323864,0.460227,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,OTHER,P1,3,176,0.017045,0.000000,0.039773,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,OTHER_PROCEDURAL,P1,7,176,0.039773,0.011364,0.068182,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,PRELIMINARY_INJUNCTION,P1,12,176,0.068182,0.034091,0.107955,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,SETTLEMENT_CONSENT,P1,1,176,0.005682,0.000000,0.017045,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,SUMMARY_JUDGMENT,P1,41,176,0.232955,0.170455,0.295455,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,TRIAL,P1,10,176,0.056818,0.028409,0.090909,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,ADMINISTRATIVE_REVIEW,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,APPEAL,P2,7,40,0.175000,0.075000,0.300000,registered,APPENDIX-READY,featured represented decided disability cohort
